Ano/Mês,Temperature(°F),Temperature(°C)
2001/01,31.35,-0.36
2001/02,33.98,1.1
2001/03,41.49,5.27
2001/04,53.08,11.71
2001/05,62.82,17.12
2001/06,69.24,20.69
2001/07,74.48,23.6
2001/08,74.3,23.5
2001/09,65.7,18.72
2001/10,54.37,12.43
2001/11,47.41,8.56
2001/12,36.12,2.29
2002/01,34.48,1.38
2002/02,36.39,2.44
2002/03,39.54,4.19
2002/04,53.49,11.94
2002/05,59.29,15.16
2002/06,70.86,21.59
2002/07,75.85,24.36
2002/08,72.86,22.7
2002/09,66.85,19.36
2002/10,51.84,11.02
2002/11,41.97,5.54
2002/12,35.08,1.71
2003/01,32.81,0.45
2003/02,32.79,0.44
2003/03,43.3,6.28
2003/04,51.89,11.05
2003/05,60.98,16.1
2003/06,68.05,20.03
2003/07,75.47,24.15
2003/08,74.66,23.7
2003/09,64.96,18.31
2003/10,56.55,13.64
2003/11,42.35,5.75
2003/12,35.29,1.83
2004/01,30.34,-0.92
2004/02,33.57,0.87
2004/03,47.41,8.56
2004/04,52.68,11.49
2004/05,61.92,16.62
2004/06,68.09,20.05
2004/07,72.9,22.72
2004/08,70.16,21.2
2004/09,65.66,18.7
2004/10,55.36,12.98
2004/11,43.99,6.66
2004/12,35.06,1.7
2005/01,33.39,0.77
2005/02,37.94,3.3
2005/03,42.31,5.73
2005/04,52.27,11.26
2005/05,59.56,15.31
2005/06,69.21,20.67
2005/07,75.31,24.06
2005/08,73.2,22.89
2005/09,67.37,19.65
2005/10,55.38,12.99
2005/11,45.01,7.23
2005/12,32.7,0.39
2006/01,38.93,3.85
2006/02,34.83,1.57
2006/03,42.62,5.9
2006/04,55.26,12.92
2006/05,62.28,16.82
2006/06,70.75,21.53
2006/07,76.41,24.67
2006/08,73.4,23.0
2006/09,63.3,17.39
2006/10,52.59,11.44
2006/11,44.08,6.71
2006/12,36.57,2.54
2007/01,31.35,-0.36
2007/02,32.41,0.23
2007/03,47.66,8.7
2007/04,50.54,10.3
2007/05,62.33,16.85
2007/06,69.87,21.04
2007/07,74.7,23.72
2007/08,74.64,23.69
2007/09,66.43,19.13
2007/10,56.68,13.71
2007/11,44.01,6.67
2007/12,33.22,0.68
2008/01,30.27,-0.96
2008/02,34.7,1.5
2008/03,41.86,5.48
2008/04,50.4,10.22
2008/05,59.36,15.2
2008/06,69.6,20.89
2008/07,74.08,23.38
2008/08,72.28,22.38
2008/09,65.21,18.45
2008/10,53.98,12.21
2008/11,43.92,6.62
2008/12,31.87,-0.07
2009/01,31.05,-0.53
2009/02,36.77,2.65
2009/03,42.87,6.04
2009/04,50.92,10.51
2009/05,61.65,16.47
2009/06,68.54,20.3
2009/07,72.63,22.57
2009/08,71.89,22.16
2009/09,66.38,19.1
2009/10,50.5,10.28
2009/11,45.84,7.69
2009/12,29.64,-1.31
2010/01,30.67,-0.74
2010/02,31.8,-0.11
2010/03,43.57,6.43
2010/04,53.24,11.8
2010/05,59.88,15.49
2010/06,70.48,21.38
2010/07,74.71,23.73
2010/08,74.05,23.36
2010/09,66.49,19.16
2010/10,56.14,13.41
2010/11,42.31,5.73
2010/12,32.47,0.26
2011/01,29.71,-1.27
2011/02,33.04,0.58
2011/03,43.07,6.15
2011/04,51.96,11.09
2011/05,59.13,15.07
2011/06,69.82,21.01
2011/07,76.14,24.52
2011/08,75.0,23.89
2011/09,66.09,18.94
2011/10,55.09,12.83
2011/11,43.75,6.53
2011/12,35.4,1.89
2012/01,36.12,2.29
2012/02,37.51,3.06
2012/03,50.41,10.23
2012/04,54.68,12.6
2012/05,63.45,17.47
2012/06,70.54,21.41
2012/07,76.77,24.87
2012/08,73.8,23.22
2012/09,66.31,19.06
2012/10,53.89,12.16
2012/11,44.01,6.67
2012/12,35.92,2.18
2013/01,32.25,0.14
2013/02,34.77,1.54
2013/03,40.91,4.95
2013/04,49.68,9.82
2013/05,60.85,16.03
2013/06,70.39,21.33
2013/07,74.21,23.45
2013/08,72.99,22.77
2013/09,66.96,19.42
2013/10,53.44,11.91
2013/11,41.61,5.34
2013/12,31.06,-0.52
2014/01,30.56,-0.8
2014/02,32.13,0.07
2014/03,40.51,4.73
2014/04,51.69,10.94
2014/05,61.27,16.26
2014/06,69.58,20.88
2014/07,73.29,22.94
2014/08,72.25,22.36
2014/09,66.2,19.0
2014/10,56.93,13.85
2014/11,39.25,4.03
2014/12,36.81,2.67
2015/01,33.08,0.6
2015/02,32.99,0.55
2015/03,45.39,7.44
2015/04,53.24,11.8
2015/05,60.84,16.02
2015/06,71.37,21.87
2015/07,73.92,23.29
2015/08,72.95,22.75
2015/09,68.54,20.3
2015/10,57.24,14.02
2015/11,44.6,7.0
2015/12,38.66,3.7
2016/01,32.22,0.12
2016/02,39.47,4.15
2016/03,47.5,8.61
2016/04,53.19,11.77
2016/05,60.33,15.74
2016/06,71.76,22.09
2016/07,75.22,24.01
2016/08,73.53,23.07
2016/09,67.12,19.51
2016/10,57.72,14.29
2016/11,47.97,8.87
2016/12,32.95,0.53
2017/01,33.57,0.87
2017/02,41.18,5.1
2017/03,46.15,7.86
2017/04,53.8,12.11
2017/05,60.57,15.87
2017/06,70.36,21.31
2017/07,75.7,24.28
2017/08,72.01,22.23
2017/09,66.27,19.04
2017/10,55.69,13.16
2017/11,45.03,7.24
2017/12,34.29,1.27
2018/01,32.16,0.09
2018/02,35.51,1.95
2018/03,42.73,5.96
2018/04,49.03,9.46
2018/05,65.52,18.62
2018/06,71.55,21.97
2018/07,75.45,24.14
2018/08,73.51,23.06
2018/09,67.53,19.74
2018/10,53.71,12.06
2018/11,40.01,4.45
2018/12,35.51,1.95
2019/01,32.56,0.31
2019/02,31.84,-0.09
2019/03,40.28,4.6
2019/04,52.84,11.58
2019/05,59.49,15.27
2019/06,68.72,20.4
2019/07,74.62,23.68
2019/08,73.74,23.19
2019/09,68.43,20.24
2019/10,52.05,11.14
2019/11,41.11,5.06
2019/12,36.43,2.46
2020/01,35.55,1.97
2020/02,36.18,2.32
2020/03,46.08,7.82
2020/04,50.88,10.49
2020/05,60.91,16.06
2020/06,70.29,21.27
2020/07,75.65,24.25
2020/08,74.71,23.73
2020/09,65.91,18.84
2020/10,54.28,12.38
2020/11,46.31,7.95
2020/12,35.71,2.06
2021/01,34.59,1.44
2021/02,30.61,-0.77
2021/03,45.52,7.51
2021/04,51.87,11.04
2021/05,60.35,15.75
2021/06,72.59,22.55
2021/07,75.42,24.12
2021/08,73.98,23.32
2021/09,67.8,19.89
2021/10,56.97,13.87
2021/11,45.07,7.26
2021/12,39.34,4.08
2022/01,31.17,-0.46
2022/02,33.69,0.94
2022/03,44.08,6.71
2022/04,50.65,10.36
2022/05,61.9,16.61
